Scientific Name,Class,Order,Family,Trend,Status,Life Span (years),Length (cm),Weight (kg),Is Social,Is Nocturnal,Diet,Mating Behavior,Incubation Period (days),Baby Carrying,Independent Age (days),Africa,Antarctica,Asia,Europe,Oceania,South America,Central America,North America,Cold,Dry/Desert,Polar/Tundra,Temperate,Tropical
Alligator mississippiensis,2,16,alligatoridae,1,0,57.5,250.0,159.0,0,1,1,1,65.0,42.5,365.0,0,0,0,0,0,0,0,0,0,1,0,0,0
Crocodylus rhombifer,2,16,crocodylidae,1,1,43.5,200.0,75.0,0,0,1,1,64.0,35.0,465.8333333333333,0,0,0,0,0,0,0,0,0,0,0,0,1
Pseudonaja textilis,2,53,elapidae,1,0,15.0,100.0,7.013792857142858,0,0,1,1,65.5,22.5,9.714285714285714,0,0,0,0,1,0,0,0,0,0,0,0,1
Opheodrys vernalis,2,53,colubridae,1,0,6.0,43.5,7.013792857142858,0,1,0,1,13.5,5.0,9.714285714285714,0,0,0,0,0,0,0,0,0,0,0,1,0
Caiman yacare,2,16,alligatoridae,1,0,50.0,200.0,36.0,0,1,1,1,75.0,29.5,465.8333333333333,0,0,0,0,0,0,0,0,0,0,0,1,1
Malacochersus tornieri,2,57,testudinidae,1,1,30.0,16.5,0.45299999999999996,1,0,2,1,150.0,1.0,196.80432558196833,1,0,0,0,0,0,0,0,0,1,0,0,1
Tiliqua rugosa,2,53,scincidae,1,0,17.5,28.5,0.75,1,0,4,0,150.0,2.5,9.714285714285714,0,0,0,0,1,0,0,0,0,1,0,1,1
Crocodylus acutus,2,16,crocodylidae,2,1,60.0,350.0,136.0,0,1,1,1,66.5,45.0,465.8333333333333,0,0,0,0,0,0,0,0,0,0,0,1,1
Agkistrodon piscivorus,2,53,viperidae,1,0,24.0,77.5,0.3905,0,1,1,0,135.0,3.5,9.714285714285714,0,0,0,0,0,0,0,0,0,0,0,1,0
Dendroaspis polylepis,2,53,elapidae,1,0,11.0,250.0,1.0,0,0,1,1,75.0,11.5,9.714285714285714,1,0,0,0,0,0,0,0,0,0,0,0,1
Furcifer pardalis,2,53,chamaeleonidae,1,0,3.0,95.32765957446809,0.12,0,0,0,1,240.0,25.0,9.714285714285714,1,0,0,0,0,0,0,0,0,0,0,0,1
Intellagama lesueurii,2,53,agamidae,1,0,20.0,85.0,1.0,1,1,0,1,105.11304347826086,12.0,9.714285714285714,0,0,0,0,1,0,0,0,0,0,0,0,1
Trimeresurus gramineus,2,53,viperidae,1,0,15.404929577464788,95.32765957446809,7.013792857142858,0,1,1,1,105.11304347826086,8.5,9.714285714285714,0,0,1,0,0,0,0,0,0,0,0,0,1
Apalone ferox,2,57,trionychidae,1,0,28.0,45.5,31.174407407407404,0,0,0,1,75.0,24.0,196.80432558196833,0,0,0,0,0,0,0,0,0,0,0,1,0
Iguana iguana,2,53,iguanidae,1,0,14.0,150.0,9.0,0,0,2,1,87.5,45.5,9.714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,1
Nerodia sipedon,2,53,colubridae,1,0,9.5,135.0,0.2445,0,1,1,1,120.0,30.0,9.714285714285714,0,0,0,0,0,0,0,0,0,0,0,1,0
Sceloporus undulatus,2,53,phrynosomatidae,1,0,4.5,14.5,0.015,0,0,0,1,63.0,9.5,9.714285714285714,0,0,0,0,0,0,0,0,0,0,0,1,0
Ophiophagus hannah,2,53,elapidae,0,1,20.0,350.0,6.0,0,0,1,0,65.0,31.5,9.714285714285714,0,0,1,0,0,0,0,0,0,0,0,0,1
Varanus komodoensis,2,53,varanidae,1,1,30.0,200.0,79.5,0,0,0,0,225.0,20.0,9.714285714285714,0,0,1,0,0,0,0,0,0,0,0,0,1
Crocodylus moreletii,2,16,crocodylidae,1,0,65.0,150.0,48.0,1,1,1,1,80.0,32.5,465.8333333333333,0,0,0,0,0,0,0,0,0,0,0,0,1
Physignathus cocincinus,2,53,agamidae,0,1,12.5,100.0,0.998,1,0,0,1,67.5,12.0,9.714285714285714,0,0,1,0,0,0,0,0,0,0,0,0,1
Bungarus fasciatus,2,53,elapidae,1,0,15.404929577464788,150.0,7.013792857142858,0,1,1,1,105.11304347826086,9.0,9.714285714285714,0,0,1,0,0,0,0,0,0,0,0,0,1
Caiman crocodilus,2,16,alligatoridae,1,0,30.0,150.0,23.5,0,1,1,1,84.5,21.5,365.0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gopherus agassizii,2,57,testudinidae,1,1,65.0,30.5,5.0,0,0,2,1,112.5,6.0,196.80432558196833,0,0,0,0,0,0,0,0,0,1,0,1,1
Coluber constrictor,2,53,colubridae,1,0,10.0,101.0,0.556,0,0,1,1,105.11304347826086,16.5,9.714285714285714,0,0,0,0,0,0,0,0,0,0,0,1,1
Crotalus scutulatus,2,53,viperidae,1,0,12.0,118.5,7.013792857142858,0,1,1,1,105.11304347826086,9.5,9.714285714285714,0,0,0,0,0,0,0,0,0,1,0,1,1
Tomistoma schlegelii,2,16,gavialidae,0,1,70.0,450.0,151.5,0,1,1,1,95.0,40.0,465.8333333333333,1,1,1,1,1,1,1,1,0,0,0,0,1
Elgaria multicarinata,2,53,anguidae,0,0,12.5,95.32765957446809,7.013792857142858,0,0,1,1,105.11304347826086,12.5,9.714285714285714,0,0,0,0,0,0,0,0,0,0,0,1,0
Apalone spinifera,2,57,trionychidae,1,0,50.0,36.0,12.0,0,0,0,1,105.84285714285714,23.5,196.80432558196833,0,0,0,0,0,0,0,0,0,0,0,1,0
Actinemys marmorata,2,57,emydidae,1,1,50.0,16.0,0.779,0,0,0,1,110.0,9.0,196.80432558196833,0,0,0,0,0,0,0,0,0,0,0,1,0
Aspidoscelis neomexicanus,2,53,teiidae,1,0,3.0,19.5,7.013792857142858,0,0,0,1,56.0,2.5,9.714285714285714,0,0,0,0,0,0,0,0,0,0,0,1,0
Chelus fimbriata,2,57,chelidae,1,0,15.0,45.0,15.0,0,1,1,1,200.0,20.0,196.80432558196833,0,0,0,0,0,0,0,0,0,0,0,0,1
Salvator merianae,2,53,teiidae,1,0,17.5,116.0,12.0,0,0,0,1,50.0,30.0,9.714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,1
Lampropeltis californiae,2,53,colubridae,1,0,35.0,51.5,7.013792857142858,0,0,1,1,52.5,8.5,9.714285714285714,0,0,0,0,0,0,0,0,0,1,0,1,1
Correlophus ciliatus,2,53,diplodactylidae,0,1,17.5,20.0,0.0325,0,1,0,1,105.0,2.0,9.714285714285714,0,0,0,0,1,0,0,0,0,0,0,0,1
Paleosuchus palpebrosus,2,16,alligatoridae,1,0,40.0,100.0,6.5,1,1,0,1,90.0,17.5,465.8333333333333,0,0,0,0,0,0,0,0,0,0,0,0,1
Hydrophis platurus,2,53,elapidae,1,0,2.0,80.0,7.013792857142858,1,0,1,1,180.0,4.0,9.714285714285714,1,1,1,0,1,0,0,0,0,0,0,0,1
Malaclemys terrapin,2,57,emydidae,0,1,25.0,16.0,0.4,1,0,1,1,72.5,7.5,196.80432558196833,0,0,0,0,0,0,0,0,0,0,0,1,0
Chamaeleo calyptratus,2,53,chamaeleonidae,1,0,6.5,48.0,0.145,0,0,0,1,170.0,85.0,9.714285714285714,0,0,1,0,0,0,0,0,0,0,0,0,1
Charina trivirgata,2,53,boidae,0,0,20.0,64.5,7.013792857142858,0,1,1,1,123.0,6.0,9.714285714285714,0,0,0,0,0,0,0,0,0,1,0,1,1
Phrynosoma cornutum,2,53,phrynosomatidae,1,0,7.0,9.15,0.0575,0,0,0,1,42.0,25.5,9.714285714285714,0,0,0,0,0,0,0,0,0,0,0,1,0
Varanus bengalensis,2,53,varanidae,0,0,22.0,118.0,7.0,0,0,0,1,211.0,20.0,9.714285714285714,0,0,1,0,0,0,0,0,0,1,0,0,1
Chrysemys picta,2,57,emydidae,1,0,25.0,16.0,0.4,1,0,0,1,76.0,9.5,196.80432558196833,0,0,0,0,0,0,0,0,0,0,0,1,0
