Scientific Name,Class,Order,Family,Trend,Status,Life Span (years),Length (cm),Weight (kg),Is Social,Is Nocturnal,Diet,Mating Behavior,Incubation Period (days),Baby Carrying,Independent Age (days),Africa,Antarctica,Asia,Europe,Oceania,South America,Central America,North America,Cold,Dry/Desert,Polar/Tundra,Temperate,Tropical
Oxyura jamaicensis,aves,anseriformes,anatidae,0.0,0.0,7.5,38.5,0.56,1,1,0.0,0.0,24.0,10.0,24.5,0,0,0,0,0,0,0,0,0,0,0,1,1
Elanus leucurus,aves,accipitriformes,accipitridae,2.0,0.0,6.0,39.0,0.315,1,0,1.0,0.0,26.5,4.0,60.0,0,0,0,0,0,0,0,0,0,0,0,1,1
Ramphastos toco,aves,piciformes,ramphastidae,0.0,0.0,22.0,60.0,0.688,1,0,0.0,0.0,17.5,3.0,47.5,0,0,0,0,0,0,0,0,0,0,0,0,1
Corvus corax,aves,passeriformes,corvidae,2.0,0.0,28.5,60.5,1.0,1,0,4.0,0.0,19.5,5.0,7.0,1,0,1,1,0,0,0,0,0,0,1,1,1
Selasphorus rufus,aves,apodiformes,trochilidae,0.0,0.0,6.0,8.0,0.0035,0,0,2.0,1.0,13.0,2.5,21.0,0,0,0,0,0,0,0,0,0,0,0,1,1
Larus californicus,aves,charadriiformes,laridae,0.0,0.0,14.0,50.5,0.2155,1,0,0.0,0.0,24.0,2.5,35.0,0,0,0,0,0,0,0,0,1,0,0,1,0
Mergus merganser,aves,anseriformes,anatidae,,0.0,13.0,65.0,1.0,1,0,1.0,0.0,31.5,11.5,65.0,0,0,1,1,0,0,0,0,0,0,0,1,0
Neochmia temporalis,aves,passeriformes,estrildidae,1.0,0.0,6.5,11.5,0.011,1,0,2.0,,13.5,5.0,28.0,0,0,0,0,1,0,0,0,0,0,0,1,1
Mimus polyglottos,aves,passeriformes,mimidae,1.0,0.0,14.0,24.0,0.049,0,0,0.0,0.0,14.0,4.0,12.5,0,0,0,0,0,0,0,0,0,0,0,1,1
Circus pygargus,aves,accipitriformes,accipitridae,0.0,0.0,16.0,45.0,0.305,1,0,1.0,0.0,33.5,4.0,49.0,1,0,1,1,0,0,0,0,1,0,0,1,1
Sayornis phoebe,aves,passeriformes,tyrannidae,2.0,0.0,10.0,15.5,0.0185,0,0,0.0,0.0,16.0,4.0,15.5,0,0,0,0,0,0,0,0,0,0,0,1,1
Lophodytes cucullatus,aves,anseriformes,anatidae,2.0,0.0,12.0,44.5,0.666,1,0,1.0,0.0,30.0,11.0,70.0,0,0,0,0,0,0,0,0,0,0,0,1,0
Phasianus colchicus,aves,galliformes,phasianidae,0.0,0.0,10.5,69.5,1.5,1,0,0.0,1.0,24.5,11.5,105.0,0,0,1,1,0,0,0,0,0,0,0,1,1
Myiopsitta monachus,aves,psittaciformes,psittacidae,2.0,0.0,25.0,29.0,0.105,1,0,2.0,0.0,24.0,8.5,45.0,0,0,0,0,0,0,0,0,0,0,0,1,1
Circus cyaneus,aves,accipitriformes,accipitridae,0.0,0.0,12.0,46.5,0.52,1,0,1.0,0.0,31.5,6.0,36.0,1,0,1,1,0,0,0,0,1,0,0,1,1
Macronectes giganteus,aves,procellariiformes,procellariidae,2.0,0.0,25.0,92.5,3.5,1,0,0.0,0.0,60.5,1.0,118.0,1,1,0,0,1,0,0,0,0,0,1,1,0
Clangula hyemalis,aves,anseriformes,anatidae,0.0,1.0,15.0,52.0,0.74,1,0,1.0,0.0,26.5,7.0,37.5,0,0,1,1,0,0,0,0,1,0,1,1,0
Aythya collaris,aves,anseriformes,anatidae,2.0,0.0,12.5,42.5,0.7,1,0,0.0,0.0,27.0,9.0,52.0,0,0,0,0,0,0,0,0,1,0,0,1,1
Apteryx owenii,aves,apterygiformes,apterygidae,2.0,0.0,39.0,40.0,0.5,0,1,0.0,0.0,69.5,1.5,17.5,0,0,0,0,1,0,0,0,0,0,0,1,0
Leucopsar rothschildi,aves,passeriformes,sturnidae,0.0,1.0,10.0,25.0,0.0925,1,0,0.0,0.0,13.5,2.5,,0,0,1,0,0,0,0,0,0,0,0,0,1
Tyrannus forficatus,aves,passeriformes,tyrannidae,0.0,0.0,12.5,19.2,0.0395,1,0,3.0,0.0,14.5,4.5,15.5,0,0,0,0,0,0,0,0,0,0,0,1,1
Accipiter striatus,aves,accipitriformes,accipitridae,2.0,0.0,8.0,30.0,0.1505,0,0,1.0,0.0,30.0,5.5,60.0,0,0,0,0,0,0,0,0,1,0,0,1,1
Fratercula corniculata,aves,charadriiformes,alcidae,0.0,0.0,,38.5,0.5,1,0,1.0,0.0,41.0,1.0,40.0,0,0,1,1,0,0,0,0,0,0,1,1,0
Pagophila eburnea,aves,charadriiformes,laridae,0.0,0.0,15.0,41.5,0.5675,1,0,0.0,0.0,25.0,2.0,42.0,0,0,1,1,0,0,0,0,1,0,1,0,0
Aegolius acadicus,aves,strigiformes,strigidae,0.0,0.0,11.5,19.5,0.1025,0,1,1.0,0.0,27.0,5.0,49.0,0,0,0,0,0,0,0,0,0,0,0,1,1
Gavia immer,aves,gaviiformes,gaviidae,1.0,0.0,30.0,78.5,4.5,0,0,1.0,0.0,,2.0,60.0,0,0,0,1,0,0,0,0,0,0,1,1,1
Aphelocoma coerulescens,aves,passeriformes,corvidae,0.0,1.0,9.5,25.5,0.079,1,0,0.0,0.0,17.0,3.5,70.0,0,0,0,0,0,0,0,0,0,0,0,0,1
Anser brachyrhynchus,aves,anseriformes,anatidae,2.0,0.0,20.0,67.5,2.0,1,0,2.0,0.0,26.5,6.0,56.0,0,0,0,1,0,0,0,0,1,0,1,1,0
Psiloscops flammeolus,aves,strigiformes,strigidae,0.0,0.0,7.5,16.0,0.0575,1,1,0.0,0.0,26.0,3.0,28.5,0,0,0,0,0,0,0,0,0,0,0,1,1
Tympanuchus cupido,aves,galliformes,phasianidae,0.0,1.0,2.5,43.0,0.95,1,0,2.0,1.0,23.5,11.0,77.0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ramphastos sulfuratus,aves,piciformes,ramphastidae,0.0,0.0,17.5,48.5,0.44,1,0,0.0,0.0,17.5,2.5,59.5,0,0,0,0,0,0,0,0,0,0,0,0,1
Larus occidentalis,aves,charadriiformes,laridae,2.0,0.0,20.0,61.5,0.4005,1,0,0.0,0.0,30.0,3.0,70.0,0,0,0,0,0,0,0,0,0,0,0,1,0
Athene noctua,aves,strigiformes,strigidae,1.0,0.0,9.0,22.0,0.18,0,0,1.0,0.0,28.5,4.0,59.5,1,0,1,1,0,0,0,0,0,0,0,1,1
Aechmophorus occidentalis,aves,podicipediformes,podicipedidae,1.0,0.0,14.0,65.0,0.3985,0,0,1.0,0.0,24.5,3.5,70.0,0,0,0,0,0,0,0,0,0,0,0,1,0
Gallinula chloropus,aves,gruiformes,rallidae,1.0,0.0,3.0,34.0,0.346,0,0,0.0,0.0,21.0,,,1,0,1,1,0,0,0,0,0,0,0,1,1
Platalea alba,aves,pelecaniformes,threskiornithidae,1.0,0.0,22.5,,1.5,1,0,1.0,0.0,29.0,4.0,25.0,1,0,0,0,0,0,0,0,0,0,0,1,1
Leucopternis albicollis,aves,accipitriformes,accipitridae,0.0,0.0,20.0,49.0,0.7235,0,0,1.0,0.0,36.0,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,1
Histrionicus histrionicus,aves,anseriformes,anatidae,2.0,0.0,13.0,40.5,0.6,1,0,1.0,0.0,28.0,6.5,60.0,0,0,1,1,0,0,0,0,1,0,1,1,0
Aegolius funereus,aves,strigiformes,strigidae,1.0,0.0,7.5,24.5,0.154,0,1,1.0,0.0,29.0,4.5,63.0,0,0,1,1,0,0,0,0,0,0,0,1,0
Geococcyx velox,aves,cuculiformes,cuculidae,1.0,0.0,7.5,48.5,0.1845,0,0,0.0,0.0,,3.0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,1
Podilymbus podiceps,aves,podicipediformes,podicipedidae,1.0,0.0,11.0,34.5,0.4105,0,0,0.0,0.0,23.0,6.5,28.0,0,0,0,0,0,0,0,0,1,0,0,1,1
Nesoenas mayeri,aves,columbiformes,columbidae,1.0,1.0,14.0,37.0,0.35,1,0,2.0,0.0,14.0,2.0,38.5,1,0,0,0,0,0,0,0,0,0,0,0,1
Gallinago gallinago,aves,charadriiformes,scolopacidae,0.0,0.0,10.0,26.0,0.11,1,0,1.0,0.0,19.5,4.0,15.0,1,0,1,1,0,0,0,0,0,0,1,1,1
Empidonax virescens,aves,passeriformes,tyrannidae,1.0,0.0,10.5,14.0,0.0125,1,0,0.0,0.0,13.5,3.0,26.0,0,0,0,0,0,0,0,0,0,0,0,1,1
Apus apus,aves,apodiformes,apodidae,1.0,0.0,21.0,16.5,0.04,1,0,0.0,0.0,19.5,2.5,46.5,1,0,1,1,0,0,0,0,0,1,1,1,1
Fratercula cirrhata,aves,charadriiformes,alcidae,0.0,0.0,20.0,38.0,0.77,1,0,1.0,0.0,45.0,1.0,47.5,0,0,1,0,0,0,0,0,0,0,1,1,0
Megascops asio,aves,strigiformes,strigidae,0.0,0.0,17.0,20.5,0.1825,0,1,1.0,0.0,26.0,3.5,63.0,0,0,0,0,0,0,0,0,0,0,0,1,1
Selasphorus platycercus,aves,apodiformes,trochilidae,1.0,0.0,10.0,8.5,0.0035,0,0,2.0,1.0,17.5,2.0,,0,0,0,0,0,0,0,0,0,0,0,1,1
